"Date","Price","Open","High","Low","Vol.","Change %"
"06/14/2011","9.3569","9.3460","9.3952","9.3173","","0.14%"
"06/13/2011","9.3434","9.2847","9.3577","9.2802","","0.51%"
"06/10/2011","9.2957","9.3941","9.4296","9.2809","","-1.03%"
"06/09/2011","9.3928","9.4392","9.4897","9.3754","","-0.48%"
"06/08/2011","9.4385","9.5199","9.5250","9.4308","","-0.84%"
"06/07/2011","9.5186","9.4418","9.5272","9.4241","","0.82%"
"06/06/2011","9.4411","9.4761","9.4982","9.4316","","-0.42%"
"06/03/2011","9.4806","9.3923","9.4884","9.3646","","0.94%"
"06/02/2011","9.3923","9.2771","9.4102","9.2787","","1.30%"
"06/01/2011","9.2720","9.3239","9.3673","9.2695","","-0.58%"
"05/31/2011","9.3265","9.2595","9.3473","9.2602","","0.73%"
"05/30/2011","9.2589","9.2894","9.2941","9.2436","","-0.41%"
"05/27/2011","9.2972","9.1730","9.3009","9.1678","","1.35%"
"05/26/2011","9.1730","9.1447","9.2238","9.1326","","0.32%"
"05/25/2011","9.1434","9.1602","9.1692","9.0986","","-0.22%"
"05/24/2011","9.1634","9.1349","9.1871","9.1052","","0.28%"
"05/23/2011","9.1381","9.1728","9.1833","9.0882","","-0.54%"
"05/20/2011","9.1875","9.3040","9.3255","9.1762","","-1.30%"
"05/19/2011","9.3085","9.2683","9.3188","9.2401","","0.46%"
"05/18/2011","9.2657","9.2609","9.2935","9.2316","","0.05%"
"05/17/2011","9.2615","9.2143","9.2651","9.1867","","0.51%"
"05/16/2011","9.2143","9.1475","9.2709","9.1281","","0.44%"
"05/13/2011","9.1735","9.2540","9.3170","9.1398","","-0.87%"
"05/12/2011","9.2540","9.2199","9.2786","9.1779","","0.41%"
"05/11/2011","9.2160","9.3497","9.3667","9.2002","","-1.45%"
"05/10/2011","9.3517","9.3188","9.3578","9.2665","","0.28%"
"05/09/2011","9.3252","9.3278","9.3815","9.2567","","0.38%"
"05/06/2011","9.2895","9.4408","9.4793","9.2922","","-1.60%"
"05/05/2011","9.4408","9.6258","9.6770","9.4215","","-1.89%"
"05/04/2011","9.6225","9.6278","9.7017","9.6005","","-0.09%"
"05/03/2011","9.6311","9.6185","9.6727","9.5842","","0.08%"
"05/02/2011","9.6231","9.6201","9.6764","9.5809","","0.19%"
"04/29/2011","9.6046","9.6377","9.6582","9.5946","","-0.32%"
"04/28/2011","9.6358","9.6249","9.6773","9.6044","","0.15%"
"04/27/2011","9.6216","9.5588","9.6349","9.5275","","0.68%"
"04/26/2011","9.5562","9.5161","9.5689","9.4451","","0.42%"
